condition,replication,crisis,crisis_tick,final_stress,total_logs,classified_signals,governance_health
naive,21,True,74,0.3799,2,1,28.42
naive,22,True,46,0.4077,2,1,28.42
naive,23,True,80,0.3691,2,1,28.42
naive,24,True,58,0.3776,3,2,34.46
naive,25,True,70,0.3682,3,2,34.46
naive,26,True,77,0.3854,2,1,28.42
naive,27,True,46,0.3851,4,1,20.08
naive,28,True,63,0.3928,3,2,34.46
naive,29,True,84,0.3797,2,1,28.42
naive,30,True,65,0.3698,3,1,22.79
naive,31,True,70,0.3867,2,1,28.42
naive,32,True,113,0.3744,3,1,22.79
naive,33,True,46,0.3829,2,1,28.42
naive,34,True,79,0.3786,2,1,28.42
naive,35,True,71,0.3802,2,1,28.42
naive,36,True,78,0.3807,3,1,22.79
naive,37,True,64,0.3805,2,1,28.42
naive,38,True,54,0.3916,3,2,34.46
naive,39,True,79,0.3914,2,1,28.42
naive,40,True,50,0.4054,2,1,28.42
naive,41,True,44,0.4054,4,2,28.83
naive,42,True,60,0.3642,4,2,28.83
naive,43,True,78,0.3861,2,1,28.42
naive,44,True,80,0.3725,2,1,28.42
naive,45,True,65,0.3956,2,1,28.42
naive,46,True,64,0.3796,4,2,28.83
naive,47,True,74,0.3608,2,1,28.42
naive,48,True,60,0.3873,2,1,28.42
naive,49,True,74,0.3811,3,1,22.79
naive,50,True,92,0.3809,2,1,28.42
naive,51,True,58,0.3659,3,1,22.79
naive,52,True,65,0.3911,3,1,22.79
naive,53,True,67,0.3778,2,1,28.42
naive,54,True,54,0.3925,2,1,28.42
naive,55,True,68,0.3790,2,1,28.42
naive,56,True,70,0.3577,4,2,28.83
naive,57,True,81,0.3821,4,3,37.58
naive,58,True,63,0.3874,2,1,28.42
naive,59,True,48,0.3630,2,1,28.42
naive,60,True,78,0.3722,2,1,28.42
naive,61,True,74,0.3912,3,1,22.79
naive,62,True,74,0.3704,3,1,22.79
naive,63,True,65,0.3812,3,2,34.46
naive,64,True,83,0.4011,4,3,37.58
naive,65,True,52,0.3707,3,1,22.79
naive,66,True,69,0.4160,2,1,28.42
naive,67,True,68,0.3818,3,2,34.46
naive,68,True,61,0.3669,2,1,28.42
naive,69,True,109,0.4151,3,2,34.46
naive,70,True,55,0.3862,2,1,28.42
naive,71,True,66,0.3850,3,1,22.79
naive,72,True,71,0.3947,2,1,28.42
naive,73,True,87,0.3790,3,2,34.46
naive,74,True,90,0.3744,2,1,28.42
naive,75,True,51,0.3980,3,2,34.46
naive,76,True,74,0.3730,3,1,22.79
naive,77,True,61,0.4174,3,2,34.46
naive,78,True,57,0.3844,2,1,28.42
naive,79,True,66,0.3680,3,1,22.79
naive,80,True,75,0.3903,3,1,22.79
naive,81,True,84,0.4036,3,1,22.79
naive,82,True,48,0.3631,2,1,28.42
naive,83,True,85,0.3774,3,2,34.46
naive,84,True,82,0.4317,2,1,28.42
naive,85,True,70,0.3763,2,1,28.42
naive,86,True,49,0.3838,3,2,34.46
naive,87,True,43,0.3909,3,1,22.79
naive,88,True,64,0.3630,2,1,28.42
naive,89,True,52,0.3781,2,1,28.42
naive,90,True,77,0.3871,3,1,22.79
naive,91,True,60,0.3779,2,1,28.42
naive,92,True,80,0.3693,2,1,28.42
naive,93,True,89,0.3697,3,2,34.46
naive,94,True,57,0.3762,3,2,34.46
naive,95,True,91,0.4030,3,1,22.79
naive,96,True,59,0.3802,2,1,28.42
naive,97,True,77,0.3825,2,1,28.42
naive,98,True,55,0.3928,2,1,28.42
naive,99,True,71,0.3662,2,1,28.42
grid,0,False,None,0.1447,14,9,56.36
grid,1,False,None,0.1671,18,9,51.56
